Lake_ID,Lake Name,Total Count,Watershed Area (Sqmi),Watershed Area (Ha),Open Water,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Scrub/Shrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetland,,Lake Watershed,Agriculture,Forest,Residential,Urban,SUM
1104ADI0587A,Adirondack Lake,4306,1.5,387.54,23.20%,6.10%,2.20%,1.50%,0.60%,0.00%,22.00%,20.90%,10.60%,10.60%,0.00%,0.00%,0.00%,2.20%,0.30%,,25.60%,0.00%,64.00%,9.70%,0.60%,100.00%
1401ANA0251,Anawanda Lake,872,0.3,78.48,20.40%,1.00%,0.00%,0.00%,0.00%,0.00%,73.40%,1.80%,2.30%,0.60%,0.00%,0.00%,0.00%,0.50%,0.00%,,20.90%,0.00%,78.10%,1.00%,0.00%,100.00%
0601ARN0362,Arnold Lake,907,0.32,81.63,34.10%,2.10%,0.00%,0.00%,0.00%,0.00%,46.50%,5.40%,11.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,34.10%,0.00%,63.80%,2.10%,0.00%,100.00%
1004AUG0213,Augur Lake,34884,12.12,3139.58,7.70%,4.20%,2.20%,0.40%,0.00%,0.00%,44.20%,13.30%,22.10%,3.80%,0.90%,0.30%,0.00%,0.90%,0.00%,,8.70%,0.30%,84.30%,6.80%,0.00%,100.00%
1102BAB1109,Babcock Lake,961,0.33,86.49,22.90%,3.90%,0.50%,0.00%,0.00%,0.00%,36.80%,13.00%,22.60%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,,,,,,,
1101BAL1090,Ballston Lake,29955,10.41,2695.97,3.70%,9.80%,4.10%,1.00%,0.40%,0.00%,24.80%,2.50%,6.70%,0.70%,0.10%,13.60%,10.00%,22.20%,0.30%,,26.30%,23.60%,34.90%,14.90%,0.40%,100.00%
1101BAL1090,Ballston Lake-shallow,,0,0,3.70%,9.80%,4.10%,1.00%,0.40%,0.00%,24.80%,2.50%,6.70%,0.70%,0.10%,13.60%,10.00%,22.20%,0.30%,,,,,,,
1301BAR0181,Barger Pond,,0,0,2.43%,11.45%,4.29%,1.06%,0.02%,0.00%,48.73%,0.10%,3.63%,0.04%,0.68%,2.51%,0.48%,24.41%,0.17%,,27.00%,2.99%,53.19%,16.80%,0.02%,100.00%
1302BAR0071,Barrett Pond,1891,0.66,170.19,16.80%,18.10%,1.90%,0.00%,0.00%,0.00%,50.20%,7.20%,1.20%,0.00%,0.00%,1.20%,0.00%,3.00%,0.40%,,20.10%,1.20%,58.70%,20.00%,0.00%,100.00%
1005BAR0338,Bartlett Pond,12134,4.22,1092.07,5.90%,1.60%,0.10%,0.10%,0.10%,0.00%,36.00%,33.90%,18.40%,0.90%,0.30%,0.00%,0.00%,2.70%,0.00%,,8.70%,0.00%,89.50%,1.80%,0.10%,100.00%
1303BEA0234,Beaver Dam Lake,27440,9.54,2469.62,3.30%,17.50%,4.50%,3.30%,2.00%,0.00%,24.00%,0.50%,14.30%,0.30%,0.10%,6.00%,8.50%,14.90%,0.90%,,19.10%,14.50%,39.20%,25.20%,2.00%,100.00%
0601BEA0174,Beaver Lake,1898,0.66,170.82,8.70%,2.00%,0.00%,0.00%,0.00%,0.00%,76.40%,1.60%,10.30%,0.30%,0.00%,0.00%,0.70%,0.00%,0.00%,,8.70%,0.70%,88.60%,2.00%,0.00%,100.00%
1302HOW0127,Bedford Lake,5200,1.81,468,2.00%,7.10%,1.60%,0.20%,0.10%,0.00%,70.20%,7.50%,1.00%,0.20%,0.00%,8.40%,0.00%,1.70%,0.00%,,3.70%,8.40%,78.80%,8.90%,0.10%,100.00%
1301BOW0444,Big Bowman Pond,1320,0.46,118.8,9.50%,7.70%,0.10%,0.00%,0.00%,0.00%,44.40%,2.70%,30.10%,0.00%,0.00%,1.20%,0.00%,4.30%,0.00%,,13.90%,1.20%,77.20%,7.70%,0.00%,100.00%
1701FRE0661,Big Fresh Pond (Lake Missapogue),2526,0.88,227.34,14.80%,16.20%,1.80%,1.70%,0.00%,0.00%,62.20%,1.30%,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,0.40%,,16.90%,0.00%,63.50%,19.60%,0.00%,100.00%
0906BLA0001,Black Lake,1617160,561.95,145545.44,5.60%,2.20%,1.20%,0.60%,0.20%,0.10%,39.40%,8.10%,1.60%,3.90%,4.20%,14.30%,2.40%,14.80%,1.50%,,21.90%,16.70%,57.20%,4.10%,0.20%,100.00%
,Black Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Blind Sodus Bay,,0,0,,,,,,,,,,,,,,,,,,,,,,
1302BLU0122A,Blue Heron Lake,2057,0.71,185.13,10.50%,8.30%,0.00%,0.00%,0.00%,0.00%,62.80%,11.30%,0.50%,0.00%,0.00%,1.60%,0.00%,4.70%,0.30%,,15.50%,1.60%,74.60%,8.30%,0.00%,100.00%
0906UWB5014,Boyd Lake,777,0.27,69.93,14.50%,4.10%,0.00%,0.00%,0.00%,0.00%,43.10%,6.40%,0.00%,0.00%,4.60%,25.70%,0.00%,1.40%,0.00%,,16.00%,25.70%,54.20%,4.10%,0.00%,100.00%
0602BRA0154,Bradley Brook Reservoir,7326,2.55,659.34,18.10%,0.80%,0.10%,0.00%,0.00%,0.00%,36.90%,5.30%,2.20%,9.00%,3.10%,13.90%,6.40%,3.60%,0.70%,,22.40%,20.20%,56.50%,0.90%,0.00%,100.00%
,Bradys Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
1104BRA0347,Brant Lake,114327,39.73,10289.5,8.00%,2.00%,0.10%,0.00%,0.00%,0.00%,42.20%,32.50%,10.20%,0.30%,0.50%,0.10%,0.10%,3.80%,0.20%,,12.00%,0.10%,85.70%,2.20%,0.00%,100.00%
0801BRA0689,Brantingham Lake,13101,4.55,1179.1,12.10%,0.30%,0.00%,0.10%,0.00%,0.00%,35.90%,26.60%,7.40%,9.60%,0.70%,0.60%,0.10%,6.50%,0.00%,,18.60%,0.80%,80.20%,0.40%,0.00%,100.00%
1301BUC0303,Buckingham Lake,1515,0.53,136.35,0.00%,18.30%,56.40%,18.60%,6.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.70%,93.30%,6.00%,100.00%
1301BUR0386,Burden Third Lake,12597,4.38,1133.74,13.40%,6.20%,3.30%,1.20%,0.00%,0.00%,38.90%,11.50%,12.10%,2.20%,0.50%,6.70%,0.20%,3.80%,0.00%,,17.20%,6.90%,65.20%,10.70%,0.00%,100.00%
0906BUT0054,Butterfield Lake,49103,17.06,4419.3,21.30%,1.80%,1.10%,0.30%,0.00%,0.00%,36.50%,9.50%,1.60%,2.80%,2.10%,9.60%,0.20%,11.50%,1.70%,,34.50%,9.70%,52.50%,3.20%,0.00%,100.00%
,Canaan Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1201CAN0717,Canada Lake,103849,36.09,9346.48,7.70%,1.30%,0.10%,0.00%,0.00%,0.00%,55.60%,7.30%,16.00%,2.80%,0.10%,0.00%,0.00%,8.10%,1.00%,,16.80%,0.00%,81.80%,1.40%,0.00%,100.00%
0601CAN0392,Canadarago Lake,183855,63.89,16547.07,5.50%,4.80%,0.90%,0.20%,0.00%,0.30%,19.00%,2.70%,4.10%,3.20%,1.90%,30.10%,15.80%,9.10%,2.40%,,17.00%,45.90%,31.20%,5.90%,0.00%,100.00%
0402CAN0043,Canadice Lake,35811,12.44,3223.01,8.80%,2.84%,0.04%,0.00%,0.00%,0.00%,51.35%,7.81%,13.09%,4.08%,0.39%,7.52%,1.36%,2.49%,0.24%,,11.50%,8.90%,76.70%,2.90%,0.00%,100.00%
0704CAN0286,Canandaigua Lake - N,535681,186.15,48211.64,8.99%,5.18%,1.18%,0.33%,0.07%,0.07%,29.13%,2.59%,6.85%,6.39%,0.39%,23.81%,11.93%,2.14%,0.95%,,12.10%,35.70%,45.40%,6.70%,0.10%,100.00%
0704CAN0286,Canandaigua Lake - S,535681,186.15,48211.64,8.99%,5.18%,1.18%,0.33%,0.07%,0.07%,29.13%,2.59%,6.85%,6.39%,0.39%,23.81%,11.93%,2.14%,0.95%,,12.10%,35.70%,45.40%,6.70%,0.10%,100.00%
0705CAY0296,Cayuga Lake,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - old N,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - old MN,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - NN,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - old S,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - S,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - N,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - SS,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0705CAY0296,Cayuga Lake - LP,4524078,1572.08,407169.94,9.90%,4.60%,1.20%,0.50%,0.10%,0.10%,18.00%,2.10%,7.20%,5.40%,0.50%,24.40%,21.90%,3.40%,0.60%,,13.90%,46.30%,33.30%,6.30%,0.10%,100.00%
0703CAZ0153,Cazenovia Lake,24414,8.48,2197.28,21.60%,6.00%,1.00%,0.20%,0.00%,0.00%,26.90%,3.60%,2.00%,12.20%,0.60%,9.50%,10.80%,5.30%,0.40%,,27.30%,20.20%,45.40%,7.10%,0.00%,100.00%
0801CHA0597,Chase Lake,11261,3.91,1013.5,7.10%,0.00%,0.00%,0.00%,0.00%,0.00%,13.60%,54.20%,7.10%,13.60%,0.00%,0.00%,0.00%,3.90%,0.50%,,11.50%,0.00%,88.50%,0.00%,0.00%,100.00%
0202CHA0122,Chautauqua Lake-N,521090,181.07,46898.44,11.60%,5.00%,1.70%,0.70%,0.10%,0.00%,44.70%,3.70%,1.00%,3.10%,2.50%,12.50%,9.50%,3.60%,0.40%,,15.50%,22.00%,55.00%,7.40%,0.10%,100.00%
0202CHA0122,Chautauqua Lake-S,521090,181.07,46898.44,11.60%,5.00%,1.70%,0.70%,0.10%,0.00%,44.70%,3.70%,1.00%,3.10%,2.50%,12.50%,9.50%,3.60%,0.40%,,,,,,,
0601CHE0213,Chenango Lake,,0,0,0.30%,0.06%,0.44%,0.00%,0.00%,0.25%,26.54%,4.25%,28.77%,0.20%,0.49%,0.00%,0.00%,3.16%,0.05%,,33.07%,0.00%,60.50%,6.43%,0.00%,100.00%
1302CHI0075,China Pond,882,0.31,79.38,24.00%,35.00%,0.30%,0.00%,0.00%,0.00%,23.90%,8.20%,0.00%,0.00%,7.00%,1.50%,0.00%,0.00%,0.00%,,24.00%,1.50%,39.10%,35.40%,0.00%,100.00%
0402CON0067,Conesus Lake - S1,202310,70.3,18208.03,7.40%,5.00%,0.90%,0.30%,0.00%,0.00%,27.90%,0.70%,5.60%,8.00%,0.50%,27.40%,12.90%,2.20%,1.30%,,10.80%,40.30%,42.70%,6.20%,0.00%,100.00%
0402CON0067,Conesus Lake - S2,202310,70.3,18208.03,7.40%,5.00%,0.90%,0.30%,0.00%,0.00%,27.90%,0.70%,5.60%,8.00%,0.50%,27.40%,12.90%,2.20%,1.30%,,10.80%,40.30%,42.70%,6.20%,0.00%,100.00%
1310COP0108,Copake Lake,6023,2.09,542.07,31.90%,13.20%,3.50%,0.70%,0.00%,0.00%,33.30%,10.00%,1.20%,0.30%,0.70%,3.40%,0.00%,1.90%,0.00%,,33.80%,3.40%,45.40%,17.40%,0.00%,100.00%
1103COS0079,Cossayuna Lake,33878,11.77,3049.04,9.50%,4.80%,0.60%,0.20%,0.00%,0.00%,37.70%,8.30%,4.90%,5.60%,0.20%,18.20%,2.50%,6.00%,1.60%,,17.00%,20.70%,56.60%,5.60%,0.00%,100.00%
0602EAR0146,Craine Lake,4989,1.73,449.01,3.50%,2.00%,0.40%,0.20%,0.00%,0.00%,21.90%,5.10%,4.00%,6.30%,0.20%,17.30%,30.20%,8.80%,0.30%,,12.60%,47.40%,37.40%,2.60%,0.00%,100.00%
1702CRA6892,Cranberry Lake ,37986,13.2,3418.76,25.90%,19.30%,5.10%,4.10%,0.70%,0.00%,33.80%,6.40%,0.60%,0.20%,0.10%,0.60%,0.00%,2.90%,0.30%,,29.10%,0.60%,41.10%,28.50%,0.70%,100.00%
0602CRO0073,Crooked Lake,13225,4.6,1190.26,9.30%,3.30%,0.20%,0.10%,0.00%,0.00%,37.50%,0.70%,0.90%,9.60%,0.60%,19.10%,11.70%,5.80%,1.30%,,16.40%,30.80%,49.30%,3.60%,0.00%,100.00%
0701CRO0185,Cross Lake,51580,17.92,4642.23,13.80%,3.00%,0.40%,0.00%,0.00%,0.00%,7.70%,0.30%,1.40%,5.50%,0.20%,24.30%,26.70%,15.60%,1.00%,,30.50%,51.00%,15.10%,3.40%,0.00%,100.00%
1401CRY0260,Crystal Lake (Sullivan),1015,0.35,91.35,15.90%,0.00%,0.00%,0.00%,0.00%,0.00%,79.80%,0.80%,3.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,15.90%,0.00%,84.10%,0.00%,0.00%,100.00%
0201CUB0115,Cuba Lake,73040,25.38,6573.65,2.80%,2.10%,0.20%,0.10%,0.00%,0.00%,62.60%,5.10%,0.60%,2.70%,0.50%,13.20%,9.40%,0.50%,0.10%,,3.40%,22.60%,71.60%,2.40%,0.00%,100.00%
0602DEA0036,Deans Pond,1809,0.63,162.81,6.60%,5.10%,0.10%,0.00%,0.60%,0.00%,12.50%,11.60%,6.70%,0.00%,0.00%,48.50%,3.50%,4.00%,0.80%,,11.40%,52.00%,30.80%,5.10%,0.60%,100.00%
1404DEE0389,Deer Lake,6590,2.29,593.1,3.80%,2.80%,0.40%,0.70%,0.00%,0.00%,48.10%,13.80%,25.30%,0.80%,0.10%,1.50%,0.70%,1.40%,0.40%,,5.70%,2.20%,88.20%,3.90%,0.00%,100.00%
0902DEE0073,Deer River Flow,,0,0,4.40%,2.30%,0.37%,0.06%,0.01%,0.02%,53.06%,18.79%,2.29%,1.50%,0.11%,0.09%,,16.57%,0.43%,,21.40%,0.10%,75.80%,2.70%,0.00%,100.00%
1201DEL1059,Delta Reservoir,428924,149.05,38603.44,3.00%,1.10%,0.30%,0.10%,0.00%,0.00%,48.00%,11.60%,3.60%,8.20%,2.70%,13.90%,5.20%,2.00%,0.40%,,5.30%,19.00%,74.20%,1.40%,0.00%,100.00%
0703DER0139A,Deruyter Reservoir ,12020,4.18,1081.81,22.30%,4.50%,0.40%,0.00%,0.00%,0.00%,38.70%,3.30%,4.00%,6.90%,0.10%,5.40%,11.80%,1.60%,1.10%,,25.00%,17.20%,52.90%,4.90%,0.00%,100.00%
1311DUA0276A,Duane Lake,1460,0.51,131.4,10.00%,3.90%,0.00%,0.00%,0.00%,0.00%,30.10%,2.90%,18.40%,0.10%,2.20%,28.90%,0.00%,3.60%,0.00%,,13.60%,28.90%,53.60%,3.90%,0.00%,100.00%
0705DUC0222,Duck Lake,2952,1.03,265.68,27.90%,3.70%,0.10%,0.00%,0.00%,0.00%,12.50%,1.60%,1.30%,12.10%,0.20%,18.80%,1.90%,16.40%,3.60%,,47.90%,20.70%,27.60%,3.80%,0.00%,100.00%
0903EAG0080,Eagle Crag Lake,4284,1.49,385.56,17.90%,0.20%,0.00%,0.00%,0.00%,0.00%,72.90%,3.60%,1.80%,2.90%,0.00%,0.00%,0.00%,0.40%,0.30%,,18.60%,0.00%,81.20%,0.20%,0.00%,100.00%
1104EAG0438,Eagle Lake,14783,5.14,1330.48,16.60%,1.30%,0.10%,0.00%,0.00%,0.00%,11.40%,54.40%,13.50%,0.10%,0.00%,0.00%,0.00%,2.50%,0.00%,,19.10%,0.00%,79.50%,1.40%,0.00%,100.00%
0902EAG0083,Eagle Pond,2940,1.02,264.6,7.00%,2.00%,0.30%,0.00%,0.00%,0.40%,38.50%,40.90%,1.70%,4.60%,0.70%,1.30%,0.00%,2.60%,0.00%,,9.60%,1.30%,86.80%,2.30%,0.00%,100.00%
1201ECA0697,East Caroga Lake,21986,7.64,1978.75,11.60%,6.50%,0.90%,0.30%,0.00%,0.00%,40.20%,13.60%,13.70%,2.20%,0.30%,0.40%,0.00%,9.50%,0.80%,,21.90%,0.40%,70.00%,7.70%,0.00%,100.00%
0602EAT0163,Eaton Reservoir,22082,7.67,1987.39,7.30%,0.60%,0.10%,0.10%,0.00%,0.00%,47.80%,10.80%,0.90%,6.90%,1.40%,16.00%,2.50%,4.80%,0.80%,,12.90%,18.50%,67.80%,0.70%,0.00%,100.00%
0602ECH0081,Echo Lake,3146,1.09,283.14,7.80%,2.20%,0.00%,0.00%,0.00%,0.00%,17.50%,14.30%,35.70%,0.00%,0.60%,11.10%,2.60%,7.00%,1.30%,,16.10%,13.70%,68.00%,2.20%,0.00%,100.00%
0801EFF0426,Effley Falls Reservoir,722531,251.07,65028.26,9.00%,0.00%,0.00%,0.00%,0.00%,0.80%,54.10%,15.30%,8.80%,5.50%,0.10%,0.00%,0.00%,5.10%,1.20%,,15.30%,0.00%,84.60%,0.00%,0.00%,100.00%
1104EFN0129,Efner Lake,13971,4.85,1257.4,10.50%,1.00%,0.00%,0.00%,0.00%,0.00%,33.70%,33.90%,16.50%,0.70%,0.10%,0.00%,0.00%,3.70%,0.00%,,14.10%,0.00%,84.90%,1.00%,0.00%,100.00%
0202FIN0153,Findley Lake,14432,5.02,1298.89,9.30%,3.70%,1.50%,0.20%,0.00%,0.10%,41.40%,4.40%,3.40%,2.30%,2.50%,14.70%,13.40%,2.40%,0.90%,,12.50%,28.10%,54.00%,5.40%,0.00%,100.00%
1301FOR0441,Forest Lake-R,526,0.18,47.34,16.50%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,23.20%,56.10%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,,20.50%,0.00%,79.30%,0.20%,0.00%,100.00%
1104FOR0340,Forest Lake-W,17270,6,1554.31,2.10%,3.10%,0.40%,0.00%,0.00%,0.00%,22.20%,33.90%,29.70%,5.40%,0.00%,0.00%,0.60%,2.50%,0.00%,,4.60%,0.60%,91.30%,3.50%,0.00%,100.00%
,Fresh Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
1104FRI0365,Friends Lake,15861,5.51,1427.5,13.90%,3.90%,0.00%,0.20%,0.00%,0.00%,14.20%,35.40%,22.70%,3.70%,0.40%,1.70%,0.50%,3.40%,0.00%,,17.40%,2.20%,76.30%,4.10%,0.00%,100.00%
0801SEC0782B,Fulton Second Lake,129568,45.02,11661.2,15.00%,2.40%,0.20%,0.10%,0.00%,0.00%,53.40%,11.20%,8.10%,6.00%,0.10%,0.00%,0.00%,3.20%,0.30%,,18.50%,0.00%,78.80%,2.70%,0.00%,100.00%
1201GAL0563,Galway Lake,27051,9.4,2434.61,9.90%,5.10%,0.70%,0.10%,0.00%,0.00%,15.40%,39.10%,5.60%,0.10%,0.30%,9.00%,0.80%,13.40%,0.40%,,23.70%,9.90%,60.50%,5.90%,0.00%,100.00%
1104GAR0520,Garnet Lake,24416,8.48,2197.46,8.60%,0.10%,0.00%,0.00%,0.00%,0.00%,57.40%,19.20%,9.00%,2.90%,0.00%,0.00%,0.00%,2.60%,0.20%,,11.40%,0.00%,88.50%,0.10%,0.00%,100.00%
0602GEN0088,Geneganslet Lake,14566,5.06,1310.95,3.60%,1.40%,0.00%,0.00%,0.00%,0.00%,44.30%,9.30%,19.70%,0.50%,0.00%,14.10%,0.00%,6.40%,0.60%,,10.60%,14.10%,73.90%,1.40%,0.00%,100.00%
1301GLA0394,Glass Lake,12487,4.34,1123.84,8.30%,4.30%,1.30%,1.00%,0.00%,0.00%,42.90%,13.70%,19.90%,0.70%,0.00%,5.10%,0.00%,2.40%,0.30%,,11.00%,5.10%,77.20%,6.70%,0.00%,100.00%
1005GLE0441,Glen Lake,34147,11.87,3073.25,7.10%,11.20%,7.10%,2.20%,1.00%,0.20%,25.40%,26.70%,11.10%,0.70%,0.10%,0.00%,0.50%,5.60%,0.90%,,13.60%,0.50%,64.30%,20.60%,1.00%,100.00%
1104GOO0672A,Goodnow Flow,74143,25.76,6672.92,4.40%,0.40%,0.00%,0.00%,0.00%,0.00%,69.50%,12.60%,6.20%,0.30%,0.00%,0.00%,0.00%,6.00%,0.70%,,11.10%,0.00%,88.50%,0.40%,0.00%,100.00%
0602GOR0136,Gorton Lake,1106,0.38,99.54,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,72.40%,6.20%,3.30%,3.20%,0.30%,0.00%,0.00%,3.80%,0.70%,,14.60%,0.00%,85.40%,0.00%,0.00%,100.00%
1302UWB0089F,Gossamans Pond,510,0.18,45.9,1.00%,0.20%,0.20%,0.00%,0.00%,0.00%,98.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00%,0.00%,98.60%,0.40%,0.00%,100.00%
0906GRA0051,Grass Lake,7434,2.58,669.06,22.90%,0.20%,0.00%,0.00%,0.00%,0.00%,43.50%,12.40%,3.00%,1.70%,1.60%,0.00%,0.20%,13.50%,0.90%,,37.30%,0.20%,62.20%,0.20%,0.00%,100.00%
0601GUI0188,Guilford Lake,6305,2.19,567.45,5.80%,2.70%,0.30%,0.00%,0.00%,0.00%,24.90%,10.70%,10.30%,0.20%,0.00%,39.50%,1.60%,3.50%,0.60%,,9.80%,41.20%,46.00%,3.00%,0.00%,100.00%
0903GUL0087,Gull Pond,15336,5.33,1380.25,16.10%,1.10%,0.00%,0.00%,0.00%,0.00%,74.90%,4.60%,1.00%,0.60%,0.00%,0.00%,0.00%,1.40%,0.20%,,17.70%,0.00%,81.10%,1.10%,0.00%,100.00%
1005HAD0432,Hadlock Pond,26059,9.06,2345.33,4.60%,2.50%,0.20%,0.00%,0.00%,0.00%,49.00%,18.70%,18.00%,2.00%,0.00%,0.90%,0.00%,2.10%,2.00%,,8.70%,0.90%,87.70%,2.70%,0.00%,100.00%
0602HAT0155,Hatch Lake,3836,1.33,345.24,16.80%,1.10%,0.30%,0.00%,0.00%,0.00%,38.70%,3.70%,1.60%,6.40%,3.30%,15.30%,7.80%,4.50%,0.40%,,21.70%,23.10%,53.80%,1.40%,0.00%,100.00%
1103HED0089,Hedges Lake,4513,1.57,406.17,12.50%,9.70%,3.30%,0.20%,0.00%,0.00%,17.60%,4.30%,1.30%,0.80%,0.50%,39.90%,5.40%,1.90%,2.50%,,17.00%,45.30%,24.50%,13.30%,0.00%,100.00%
0402HEM0044,Hemlock Lake - S1,123355,42.86,11102.03,7.45%,4.42%,0.35%,0.04%,0.00%,0.02%,35.46%,6.64%,12.82%,6.97%,0.52%,15.01%,7.65%,1.69%,0.96%,,10.10%,22.70%,62.40%,4.80%,0.00%,100.00%
0402HEM0044,Hemlock Lake - S2,123355,42.86,11102.03,7.45%,4.42%,0.35%,0.04%,0.00%,0.02%,35.46%,6.64%,12.82%,6.97%,0.52%,15.01%,7.65%,1.69%,0.96%,,10.10%,22.70%,62.40%,4.80%,0.00%,100.00%
0402HEM0044,Hemlock Lake - S3,123355,42.86,11102.03,7.45%,4.42%,0.35%,0.04%,0.00%,0.02%,35.46%,6.64%,12.82%,6.97%,0.52%,15.01%,7.65%,1.69%,0.96%,,10.10%,22.70%,62.40%,4.80%,0.00%,100.00%
