Lake_ID,Lake Name,Total Count,Watershed Area (Sqmi),Watershed Area (Ha),Open Water,Developed Open Space,Developed Low Intensity,Developed Medium Intensity,Developed High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Scrub/Shrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Emergent Herbaceous Wetland,,Lake Watershed,Agriculture,Forest,Residential,Urban,SUM
1306HIG0492,Highland Lake,2065,0.72,185.85,25.10%,0.80%,0.00%,0.00%,0.00%,0.00%,40.80%,7.50%,20.30%,0.00%,0.00%,4.00%,0.00%,1.50%,0.00%,,26.60%,4.00%,68.60%,0.80%,0.00%,100.00%
1304HIL0345G,Hillside Lake,971,0.34,87.39,0.00%,51.40%,19.90%,2.10%,0.00%,0.00%,11.90%,0.00%,1.50%,0.80%,0.00%,2.20%,0.00%,0.00%,10.20%,,10.20%,2.20%,14.30%,73.30%,0.00%,100.00%
0402HON0057,Honeoye Lake - S2,115298,40.07,10376.89,7.00%,3.40%,0.30%,0.00%,0.00%,0.00%,57.80%,4.10%,5.50%,5.70%,0.20%,9.50%,2.30%,3.90%,0.30%,,11.30%,11.80%,73.20%,3.70%,0.00%,100.00%
0402HON0057,Honeoye Lake - S1,115298,40.07,10376.89,7.00%,3.40%,0.30%,0.00%,0.00%,0.00%,57.80%,4.10%,5.50%,5.70%,0.20%,9.50%,2.30%,3.90%,0.30%,,11.30%,11.80%,73.20%,3.70%,0.00%,100.00%
0902HOR0078,Horsehoe Pond,19988,6.95,1798.93,5.10%,3.80%,0.80%,0.10%,0.00%,0.10%,57.60%,17.80%,2.20%,2.80%,0.20%,0.20%,0.00%,9.00%,0.20%,,14.40%,0.20%,80.70%,4.70%,0.00%,100.00%
1104HUN0131,Hunt Lake,6208,2.16,558.72,9.80%,0.80%,0.00%,0.00%,0.00%,0.00%,46.70%,25.40%,14.50%,1.30%,0.20%,0.00%,0.00%,1.30%,0.00%,,11.20%,0.00%,88.10%,0.80%,0.00%,100.00%
0303HYD0391,Hyde Lake,5970,2.07,537.3,14.10%,2.10%,1.10%,0.00%,0.00%,0.00%,22.90%,17.20%,2.80%,5.00%,5.20%,15.80%,0.00%,13.30%,0.50%,,27.90%,15.80%,53.10%,3.20%,0.00%,100.00%
1104IND0597,Indian Lake (Hamilton),373667,129.85,33630.27,7.10%,0.90%,0.00%,0.00%,0.00%,0.00%,67.70%,13.30%,6.30%,2.00%,0.00%,0.00%,0.00%,2.30%,0.40%,,9.80%,0.00%,89.30%,0.90%,0.00%,100.00%
1301IND0167,Indian Lake (Putnam),973,0.34,87.57,20.30%,8.20%,0.00%,0.00%,0.00%,0.00%,50.80%,19.10%,0.00%,0.00%,0.00%,0.00%,0.00%,1.50%,0.00%,,21.90%,0.00%,69.90%,8.20%,0.00%,100.00%
0703JAM0144,Jamesville Reservoir,125466,43.6,11292.02,0.80%,4.90%,0.50%,0.00%,0.00%,0.10%,36.80%,2.80%,2.50%,10.80%,0.50%,23.20%,12.40%,4.00%,0.70%,,5.50%,35.60%,53.40%,5.40%,0.00%,100.00%
0104JAV0152,Java Lake,2030,0.71,182.7,9.50%,4.20%,1.60%,0.80%,0.00%,0.00%,5.30%,0.20%,3.10%,0.00%,0.00%,4.60%,22.30%,39.00%,9.50%,,57.90%,26.90%,8.60%,6.60%,0.00%,100.00%
1104JEN0130,Jenny Lake,1991,0.69,179.19,19.60%,2.50%,0.00%,0.00%,0.00%,0.00%,16.40%,45.20%,14.20%,0.00%,0.00%,0.00%,0.00%,2.20%,0.00%,,21.70%,0.00%,75.70%,2.50%,0.00%,100.00%
0903JOE0031,Joe Indian Pond,60978,21.19,5488.06,3.40%,0.00%,0.00%,0.00%,0.00%,0.10%,49.80%,29.80%,2.50%,2.40%,0.20%,0.00%,0.00%,10.40%,1.40%,,15.20%,0.00%,84.80%,0.00%,0.00%,100.00%
0703KAS0109,Kasoag Lake,20963,7.28,1886.68,3.00%,0.80%,0.00%,0.00%,0.00%,0.00%,62.10%,8.20%,3.80%,10.50%,0.20%,8.60%,0.40%,1.80%,0.50%,,5.30%,9.00%,84.90%,0.80%,0.00%,100.00%
1302KAT0107A,Katonah Lake,603,0.21,54.27,15.60%,45.10%,0.00%,1.00%,0.00%,0.00%,32.20%,6.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,15.60%,0.00%,38.30%,46.10%,0.00%,100.00%
0801KAY0984A,Kayuta Lake,419642,145.82,37768.05,2.50%,0.10%,0.00%,0.00%,0.00%,0.00%,55.70%,14.90%,9.30%,5.50%,0.30%,1.10%,0.20%,9.70%,0.70%,,12.90%,1.20%,85.70%,0.10%,0.00%,100.00%
1104KELXXX1,Kellum Lake,6463,2.25,581.67,6.70%,2.10%,0.00%,0.00%,0.00%,0.00%,20.00%,34.70%,29.90%,0.30%,0.00%,0.00%,0.00%,6.30%,0.00%,,13.00%,0.00%,84.90%,2.10%,0.00%,100.00%
0705KEU0388,Keuka Lake - S1,507307,176.29,45657.96,10.46%,4.45%,0.59%,0.16%,0.03%,0.00%,26.56%,3.19%,12.96%,7.42%,0.34%,21.93%,9.91%,1.45%,0.54%,,12.50%,31.80%,50.50%,5.20%,0.00%,100.00%
0705KEU0388,Keuka Lake - S2,507307,176.29,45657.96,10.46%,4.45%,0.59%,0.16%,0.03%,0.00%,26.56%,3.19%,12.96%,7.42%,0.34%,21.93%,9.91%,1.45%,0.54%,,12.50%,31.80%,50.50%,5.20%,0.00%,100.00%
0705KEU0388,Keuka Lake - S3,507307,176.29,45657.96,10.46%,4.45%,0.59%,0.16%,0.03%,0.00%,26.56%,3.19%,12.96%,7.42%,0.34%,21.93%,9.91%,1.45%,0.54%,,12.50%,31.80%,50.50%,5.20%,0.00%,100.00%
1310KIN0024,Kinderhook Lake,109515,38.06,9856.42,2.60%,6.80%,2.60%,1.00%,0.10%,0.00%,33.90%,10.10%,6.90%,5.70%,0.40%,19.50%,1.70%,7.70%,0.90%,,11.20%,21.30%,57.10%,10.40%,0.10%,100.00%
1302KIR0052,Kirk Lake,8926,3.1,803.35,5.90%,21.40%,3.10%,0.70%,0.10%,0.00%,52.70%,1.90%,0.70%,0.90%,0.00%,3.50%,0.00%,8.40%,0.60%,,14.90%,3.50%,56.30%,25.20%,0.10%,100.00%
1002ALI5018,Lake Alice,662809,230.32,59653.24,0.90%,3.70%,1.80%,0.40%,0.10%,0.10%,9.20%,0.20%,0.90%,0.30%,0.10%,20.60%,39.40%,19.30%,3.00%,,23.20%,60.00%,10.80%,5.90%,0.10%,100.00%
0906BON0024,Lake Bonaparte,48644,16.9,4377.99,14.10%,1.50%,0.10%,0.00%,0.00%,0.40%,48.20%,11.00%,2.10%,0.50%,1.20%,1.00%,0.20%,18.10%,1.60%,,33.80%,1.20%,63.40%,1.70%,0.00%,100.00%
1302CAR0062A,Lake Carmel,37592,13.06,3383.3,3.70%,13.40%,7.20%,1.70%,0.10%,0.00%,63.90%,0.60%,0.20%,0.40%,0.00%,2.70%,0.00%,5.00%,0.90%,,9.60%,2.80%,65.10%,22.30%,0.10%,100.00%
1301CEL0166,Lake Celeste,3173,1.1,285.57,0.80%,7.00%,0.00%,0.00%,0.00%,0.00%,83.20%,3.20%,0.30%,0.50%,0.00%,0.40%,0.00%,3.90%,0.60%,,5.40%,0.40%,87.30%,7.00%,0.00%,100.00%
1003CLE0199,Lake Clear,31614,10.99,2845.28,17.10%,2.90%,0.20%,0.10%,0.00%,0.00%,33.10%,31.20%,8.30%,4.40%,0.80%,0.00%,0.00%,1.70%,0.20%,,19.00%,0.00%,77.80%,3.20%,0.00%,100.00%
1003COL0106,Lake Colby,8819,3.06,793.72,17.80%,5.70%,2.80%,3.00%,0.40%,0.00%,26.90%,33.60%,3.50%,4.90%,0.70%,0.00%,0.20%,0.40%,0.00%,,18.20%,0.20%,69.70%,11.50%,0.40%,100.00%
0705COM0333,Lake Como,11483,3.99,1033.48,3.10%,3.70%,0.00%,0.10%,0.00%,0.00%,40.10%,5.40%,2.80%,6.70%,0.20%,19.80%,12.30%,5.50%,0.40%,,9.00%,32.10%,55.10%,3.80%,0.00%,100.00%
0502DEM0068,Lake Demmon,812,0.28,73.08,16.40%,4.90%,0.00%,0.00%,0.00%,0.00%,33.70%,13.90%,14.00%,0.60%,0.00%,9.50%,5.80%,1.10%,0.00%,,17.50%,15.30%,62.30%,4.90%,0.00%,100.00%
1401DEV0174,Lake Devenoge,568,0.2,51.12,45.20%,16.70%,0.00%,0.00%,0.00%,7.70%,26.10%,2.50%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,45.20%,0.00%,38.00%,16.70%,0.00%,100.00%
1006GEO0367,Lake George- Hague,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Basin Bay,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Crown Island,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Diamond Island,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Lake George Village,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Gull Bay,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Harris Bay,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Hearts Bay,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George-Huletts Landing,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
1006GEO0367,Lake George- Northwest Bay,669183,232.54,60226.9,20.20%,3.80%,0.80%,0.30%,0.10%,0.00%,32.70%,28.40%,9.90%,0.50%,0.10%,0.60%,0.10%,2.40%,0.10%,,22.60%,0.80%,71.70%,4.90%,0.10%,100.00%
0602GER0097,Lake Gerry,594,0.21,53.46,23.90%,8.80%,0.80%,0.00%,0.00%,0.00%,45.30%,2.20%,3.70%,2.00%,0.00%,0.00%,0.00%,7.90%,5.40%,,37.20%,0.00%,53.20%,9.60%,0.00%,100.00%
1402GUY0014,Lake Guymard,1245,0.43,112.05,11.90%,13.80%,0.90%,0.00%,0.00%,0.00%,61.40%,0.00%,9.20%,0.00%,0.00%,1.80%,0.10%,1.00%,0.00%,,12.90%,1.80%,70.60%,14.70%,0.00%,100.00%
,Lake Kitchawan,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Kiwassa,,0,0,,,,,,,,,,,,,,,,,,,,,,
0302LAC0132,Lake Lacoma,147,0.05,13.23,24.50%,1.40%,0.00%,0.00%,0.00%,0.00%,20.40%,12.90%,32.70%,0.00%,0.00%,0.00%,0.00%,2.70%,5.40%,,32.70%,0.00%,66.00%,1.40%,0.00%,100.00%
1102LAU1121,Lake Lauderdale,5228,1.82,470.52,8.90%,6.10%,3.80%,1.10%,0.00%,0.00%,35.20%,6.60%,6.40%,2.60%,0.40%,13.50%,8.60%,6.70%,0.10%,,15.80%,22.10%,51.20%,11.00%,0.00%,100.00%
1302LIN0057A,Lake Lincolndale,1543,0.54,138.87,5.20%,55.70%,23.10%,1.90%,0.00%,0.00%,13.30%,0.10%,0.30%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,,5.20%,0.00%,14.00%,80.80%,0.00%,100.00%
1501LUC0982B,Lake Lucille,14580,5.07,1312.21,0.20%,35.90%,7.20%,3.40%,0.20%,0.00%,44.70%,0.00%,0.00%,0.40%,0.30%,0.00%,2.60%,4.90%,0.00%,,5.20%,2.60%,45.50%,46.50%,0.20%,100.00%
1104LUZ0318,Lake Luzerne,73524,25.55,6617.21,2.20%,4.00%,0.30%,0.10%,0.00%,0.00%,31.10%,33.60%,21.90%,2.00%,0.30%,0.00%,0.30%,3.90%,0.20%,,6.30%,0.30%,88.90%,4.50%,0.00%,100.00%
,Lake Mahopac,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Meahagh,,0,0,,,,,,,,,,,,,,,,,,,,,,
1301MOH0179,Mohegan Lake,3006,1.04,270.54,14.70%,45.90%,10.60%,6.30%,0.80%,0.00%,14.80%,1.20%,0.30%,0.00%,0.00%,0.80%,0.00%,4.30%,0.20%,,19.20%,0.80%,16.30%,62.80%,0.80%,100.00%
0602MOR0152,Lake Moraine,23160,8.05,2084.41,5.30%,1.70%,0.20%,0.00%,0.00%,0.00%,25.40%,4.60%,0.40%,10.50%,6.70%,27.70%,13.30%,3.20%,0.80%,,9.30%,41.00%,47.70%,2.00%,0.00%,100.00%
,Lake Myosotis,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Nimham,,0,0,,,,,,,,,,,,,,,,,,,,,,
0901ISLXXX1,Lake of the Isles,14547,5.05,1309.24,29.40%,3.40%,2.50%,1.70%,0.40%,0.00%,38.60%,2.90%,0.50%,3.00%,1.70%,2.20%,0.30%,7.00%,6.30%,,42.70%,2.50%,46.70%,7.70%,0.40%,100.00%
0906OTH0009,Lake of the Woods,3059,1.06,275.31,32.00%,1.60%,0.00%,0.00%,0.00%,0.00%,38.40%,13.50%,4.70%,0.90%,1.20%,6.90%,0.00%,0.80%,0.00%,,32.80%,6.90%,58.70%,1.60%,0.00%,100.00%
,Lake Ontario-Golden Hill,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Ontario-Wilson Tuscarora,,0,0,,,,,,,,,,,,,,,,,,,,,,
1302OSC0118,Lake Oscaleta,5747,2,517.23,11.10%,6.40%,0.00%,0.00%,0.00%,0.00%,59.50%,11.10%,1.60%,0.10%,0.00%,1.40%,0.00%,8.50%,0.30%,,20.00%,1.40%,72.20%,6.40%,0.00%,100.00%
,Lake Oscawana,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Ossi,,0,0,,,,,,,,,,,,,,,,,,,,,,
1301PEE0171,Lake Peekskill,2012,0.7,181.08,12.60%,38.10%,4.10%,1.20%,0.10%,0.00%,35.50%,0.50%,0.00%,0.80%,0.00%,1.80%,0.00%,4.80%,0.30%,,17.70%,1.80%,36.80%,43.40%,0.10%,100.00%
1004PLA0254,Lake Placid,62289,21.64,5606.05,15.10%,2.30%,0.70%,0.50%,0.10%,0.00%,30.40%,27.60%,21.80%,0.20%,0.00%,0.00%,0.00%,1.30%,0.10%,,16.40%,0.00%,80.00%,3.50%,0.10%,100.00%
1104PLE0313,Lake Pleasant,96053,33.38,8644.83,16.80%,2.80%,0.30%,0.20%,0.10%,0.00%,52.60%,13.20%,7.90%,2.10%,0.10%,0.00%,0.10%,2.80%,1.20%,,20.80%,0.10%,75.80%,3.30%,0.10%,100.00%
1302RIP0119,Lake Rippowam,1248,0.43,112.32,12.40%,5.00%,0.00%,0.00%,0.00%,0.00%,66.30%,3.70%,0.20%,0.00%,0.00%,1.00%,0.00%,11.40%,0.00%,,23.80%,1.00%,70.20%,5.00%,0.00%,100.00%
0502SAL0051,Lake Salubria,2289,0.8,206.01,11.40%,5.60%,4.00%,0.60%,0.00%,0.00%,39.80%,0.00%,0.40%,4.00%,1.80%,1.40%,29.10%,0.70%,1.30%,,13.40%,30.50%,46.00%,10.20%,0.00%,100.00%
,Lake Taghanic,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Tibet,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lake Titus,,0,0,,,,,,,,,,,,,,,,,,,,,,
1302TRU0115A,Lake Truesdale,11028,3.83,992.53,4.10%,14.90%,0.40%,0.30%,0.00%,0.00%,56.30%,3.60%,1.90%,0.50%,0.10%,2.80%,0.00%,15.00%,0.10%,,19.20%,2.80%,62.40%,15.60%,0.00%,100.00%
1302WAC0117,Lake Waccabuc,3523,1.22,317.07,14.80%,31.10%,0.50%,0.30%,0.00%,0.00%,41.80%,6.60%,0.30%,0.90%,1.10%,0.40%,0.00%,2.00%,0.20%,,17.10%,0.40%,50.70%,31.90%,0.00%,100.00%
,Lake Wanaksink,,0,0,,,,,,,,,,,,,,,,,,,,,,
0602WAR0094,Lake Warn,2655,0.92,238.95,5.60%,4.30%,0.40%,0.00%,0.00%,0.00%,30.30%,9.60%,13.10%,0.00%,0.00%,24.60%,3.80%,6.00%,2.40%,,14.00%,28.40%,53.00%,4.60%,0.00%,100.00%
0502LAM0047,Lamoka Lake,106303,36.94,9567.34,6.40%,3.90%,0.30%,0.00%,0.00%,0.00%,30.10%,1.60%,8.50%,10.50%,0.70%,29.20%,5.00%,2.80%,0.90%,,10.10%,34.30%,51.40%,4.20%,0.00%,100.00%
1404LAU0382,Laurel Lake,335,0.12,30.15,14.00%,5.40%,0.00%,0.00%,0.00%,0.00%,50.70%,0.00%,1.20%,0.00%,0.00%,24.20%,0.00%,2.40%,2.10%,,18.50%,24.20%,51.90%,5.40%,0.00%,100.00%
0602LEB0153,Lebanon Reservoir,14565,5.06,1310.86,4.00%,0.90%,0.00%,0.00%,0.00%,0.00%,39.70%,7.50%,1.90%,5.30%,2.60%,26.20%,5.90%,5.40%,0.70%,,10.00%,32.10%,57.00%,0.90%,0.00%,100.00%
,Upper Leland Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Lower Leland Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
1701LIL0779,Lily Pond (Suffolk),1742,0.61,156.78,0.40%,21.40%,21.20%,5.90%,0.00%,0.30%,31.10%,1.00%,0.00%,5.40%,5.00%,7.10%,0.00%,0.00%,1.20%,,1.60%,7.10%,42.80%,48.50%,0.00%,100.00%
0104LIM0130,Lime Lake,4336,1.51,390.24,15.60%,6.30%,7.40%,0.70%,0.20%,0.00%,22.60%,0.20%,3.10%,1.20%,0.80%,11.40%,29.40%,0.00%,1.10%,,16.70%,40.80%,27.90%,14.40%,0.20%,100.00%
1004LIN0315,Lincoln Pond,42400,14.73,3816.03,9.40%,2.70%,0.80%,0.10%,0.00%,0.00%,25.90%,28.70%,28.80%,1.20%,0.00%,0.00%,0.00%,2.20%,0.20%,,11.80%,0.00%,84.60%,3.60%,0.00%,100.00%
1701LFR0662,Little Fresh Pond,2602,0.9,234.18,3.30%,19.80%,8.80%,5.00%,0.50%,0.00%,53.60%,1.10%,0.30%,1.70%,0.00%,4.80%,0.00%,1.30%,0.00%,,4.70%,4.80%,56.60%,33.50%,0.50%,100.00%
,Little Long Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
0302LSO0076,Little Sodus Bay,10388,3.61,934.93,23.40%,9.30%,1.60%,0.30%,0.00%,0.00%,26.10%,2.40%,11.10%,3.00%,0.50%,9.70%,7.10%,4.70%,0.80%,,28.80%,16.80%,43.20%,11.20%,0.00%,100.00%
1501UWB1006,Little We Wah,9608,3.34,864.73,14.10%,10.20%,0.30%,0.00%,0.00%,0.00%,68.00%,2.60%,1.20%,0.10%,0.20%,0.20%,0.00%,3.10%,0.00%,,17.20%,0.20%,72.10%,10.50%,0.00%,100.00%
0903LWO0095,Little Wolf Pond,30281,10.52,2725.31,19.00%,1.80%,0.20%,0.00%,0.00%,0.10%,52.80%,19.10%,2.10%,1.80%,0.00%,0.00%,0.10%,2.30%,0.60%,,22.00%,0.10%,75.80%,2.10%,0.00%,100.00%
,Long Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Long Pond,,0,0,,,,,,,,,,,,,,,,,,,,,,
1308LONXXX1,Long Pond,8852,3.08,796.69,8.20%,6.30%,1.60%,1.00%,0.00%,0.00%,30.00%,4.90%,0.60%,3.00%,0.20%,31.50%,6.10%,5.70%,0.90%,,14.80%,37.60%,38.70%,8.90%,0.00%,100.00%
0404LOO0079,Loon Lake,10338,3.59,930.43,18.10%,3.40%,0.00%,0.00%,0.00%,0.00%,58.90%,9.50%,0.60%,5.30%,0.40%,0.00%,0.00%,3.50%,0.20%,,21.90%,0.00%,74.70%,3.40%,0.00%,100.00%
1104LOO0367,Loon Lake,37485,13.03,3373.67,8.90%,5.30%,0.20%,0.10%,0.00%,0.00%,15.70%,41.50%,23.10%,0.30%,0.00%,0.10%,0.10%,4.60%,0.10%,,13.50%,0.10%,80.70%,5.60%,0.00%,100.00%
,Lorton Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
0202LCA0133,Lower Cassadaga Lake,17172,5.97,1545.49,6.50%,4.80%,1.50%,0.80%,0.10%,0.10%,47.90%,3.00%,1.30%,4.90%,2.30%,9.60%,8.90%,7.30%,1.10%,,14.90%,18.50%,59.40%,7.10%,0.10%,100.00%
,Lower Chateaugay Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1308LRH0888,Lower Rhoda Pond,7934,2.76,714.07,7.10%,6.50%,1.80%,1.10%,0.00%,0.00%,29.00%,3.40%,0.50%,2.80%,0.20%,34.30%,6.90%,5.40%,1.00%,,13.40%,41.20%,36.00%,9.40%,0.00%,100.00%
,Lower St. Regis Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
,Madison Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1201MAR0570,Mariaville Lake,9239,3.21,831.52,11.10%,7.30%,1.40%,0.40%,0.00%,0.00%,41.70%,3.20%,21.10%,2.90%,0.70%,1.20%,0.00%,8.20%,0.60%,,19.90%,1.20%,69.70%,9.20%,0.00%,100.00%
1104MAYXXX1,Mayfield Lake,89575,31.13,8061.81,1.80%,6.10%,3.50%,0.80%,0.40%,0.00%,33.80%,22.60%,6.60%,0.40%,1.00%,6.80%,2.70%,13.00%,0.50%,,15.30%,9.50%,64.40%,10.40%,0.40%,100.00%
0602MEL0039,Melody Lake,4655,1.62,418.95,4.00%,2.90%,0.10%,0.00%,0.00%,0.00%,16.80%,12.90%,14.40%,0.80%,1.70%,26.30%,16.60%,3.60%,0.00%,,7.60%,42.90%,46.50%,2.90%,0.00%,100.00%
0906MIL0055,Millsite Lake,10096,3.51,908.65,29.10%,0.90%,0.20%,0.00%,0.00%,0.00%,36.10%,17.00%,3.90%,1.10%,1.90%,3.70%,0.30%,5.70%,0.10%,,34.90%,4.00%,60.10%,1.00%,0.00%,100.00%
1004MIR0250,Mirror Lake,3360,1.17,302.4,19.40%,17.90%,4.50%,3.50%,1.30%,0.00%,28.70%,10.10%,12.90%,0.00%,0.00%,0.00%,0.00%,1.50%,0.30%,,21.30%,0.00%,51.70%,25.80%,1.30%,100.00%
,Monhagen Lake,,0,0,,,,,,,,,,,,,,,,,,,,,,
1401MON0186,Montgomery Lake,682,0.24,61.38,12.60%,1.30%,0.00%,0.00%,0.00%,0.00%,51.60%,2.50%,32.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,12.60%,0.00%,86.10%,1.30%,0.00%,100.00%
0905MOO0071,Moon Lake,5186,1.8,466.74,23.00%,2.50%,0.00%,0.00%,0.00%,0.00%,55.30%,2.70%,2.30%,0.80%,0.70%,2.90%,0.00%,9.70%,0.10%,,32.80%,2.90%,61.80%,2.50%,0.00%,100.00%
1101MOR0101,Moreau Lake,4676,1.62,420.84,11.70%,0.40%,0.00%,0.00%,0.00%,0.10%,39.90%,28.20%,14.30%,0.00%,0.00%,0.00%,1.00%,4.10%,0.10%,,16.00%,1.00%,82.60%,0.40%,0.00%,100.00%
1201MOU0691,Mountain Lake (Fulton),1439,0.5,129.51,13.90%,2.80%,0.00%,0.00%,0.00%,0.00%,30.70%,34.40%,14.50%,0.00%,0.00%,0.00%,0.00%,3.80%,0.00%,,17.70%,0.00%,79.60%,2.80%,0.00%,100.00%
0902MOU0050,Moutain View Lake,129621,45.04,11665.97,5.00%,1.40%,0.00%,0.00%,0.00%,0.10%,61.00%,14.50%,2.60%,3.70%,0.50%,0.00%,0.00%,11.00%,0.30%,,16.30%,0.00%,82.20%,1.50%,0.00%,100.00%
1310NAS0034,Nassau Lake,48432,16.83,4358.91,2.50%,6.80%,1.40%,0.60%,0.00%,0.00%,37.30%,13.90%,11.60%,5.50%,0.50%,12.40%,0.40%,6.40%,0.80%,,9.60%,12.80%,68.80%,8.80%,0.00%,100.00%
